ID_Routeur,Nom_Routeur,Coord_X,Coord_Y,Etat
1,R1,200,150,actif
2,R2,400,450,actif 
3,R3,450,650,actif
4,R4,150,500,actif
5,R5,804,317,panne
6,R6,624,457,actif
7,R7,847,311,actif
8,R8,892,260,actif
9,R9,223,99,actif
10,R10,369,674,actif
11,R11,589,119,actif 
12,R12,705,698,panne
13,R13,321,593,panne
14,R14,526,801,panne
15,R15,353,999,actif
16,R16,635,780,actif
17,R17,907,695,actif
18,R18,867,816,actif
19,R19,866,943,actif
20,R20,860,117,actif 
21,R21,687,358,actif
22,R22,734,158,actif 
23,R23,428,347,panne
24,R24,714,927,actif
25,R25,375,865,actif
26,R26,928,980,actif
27,R27,752,934,actif
28,R28,692,681,actif
29,R29,975,941,actif 
30,R30,69,806,actif
31,R31,674,274,actif
32,R32,964,718,actif 
33,R33,297,205,actif
34,R34,616,482,actif
35,R35,158,874,actif
36,R36,774,99,actif
37,R37,649,442,actif
38,R38,575,517,actif 
39,R39,361,985,actif
40,R40,54,256,actif 
41,R41,739,887,actif
42,R42,333,371,actif
43,R43,679,871,actif
44,R44,615,660,actif
45,R45,306,312,actif
46,R46,875,548,actif
47,R47,651,11,actif 
48,R48,280,65,panne
49,R49,661,965,panne
50,R50,148,830,panne
